question,ans1,ans2,ans3
so basically there's some stats/probability involved in this one too?,What's the worst case runtime for DFS with Adjacency Matrix on a graph?,O(m+n) or O(n^2),for adjacency matrices you can't tell if the edge between any two nodes actually exists or not without checking it
What's the worst case runtime for DFS with Adjacency Matrix on a graph?,O(m+n) or O(n^2),for adjacency matrices you can't tell if the edge between any two nodes actually exists or not without checking it,so you have to check every entry
oh cus add the 9?,yeah,"For a minHeap implementation, if we store the root as index 0 opposed to 1 would the left child's position be 2i+1",and if we were to store root as 2 would the right child be 2i+3?
and if we were to store root as 2 would the right child be 2i+3?,I worked it out a few times but this is the diagram that I am getting,what does this mean exactly?,(BTree proprety)
what does this mean exactly?,(BTree proprety),oh nvm i think i understand,does this have something to do with load factor?
does this have something to do with load factor?,Yes but the key here is you don't are about memory so of the choices this will be the lowest load factor and thus the fastest.,wait what is the formula for load factor again?,elements divided by available slots
wait what is the formula for load factor again?,elements divided by available slots,but then wouldn't 100000 give the highest load factor,oh wait i think i got it backwards
In what sense?,"see here, i thought justin explained it well",In that context the description provided is good.,ahh nevermind I figured it out now
How do the inserted numbers correlate to the function? I am a little confused on how to approach this problem.,the hash function gives the index in the array at which to store the contents,"insert 1 -> (3 * 1 + 4) % 7 = 0 -> insert 1 at the 0th index of the array
insert 3 -> (3 * 3 + 4) % 7 = 6 -> insert 3 at 6th index of array
insert 8 -> (3 * 8 + 4) % 7 = 0 -> try to insert 8 at the 0th index, but encounters collision with 1 -> try next index over (linear probing) -> can insert there, 8 inserted at 1st index
and so on",Ohh ok thanks
"when it says it can store 80 elements, does that refer to the number of elements that are going to be stored? since the capacity is stated to be 100",yes,wait this is actually always true?,i believe so
wait this is actually always true?,i believe so,but it looks like every node has one more child than keys,"the leftmost internal node doesn't (0 children and 3 keys), the internal node in between 155 and 226 (0 children and 2 keys) doesn't"
how do I approach this problem?,Well since you know that each vertex has degree 6 you can compute how many edges there are and then subtract the number of edges that are discovery edges to get the number of back edges.,What about questions that say speed and memory are equally important?,Well then you should choose something that gets a load factor between .5-.7 to get the best compromise as described in lecture.
What about questions that say speed and memory are equally important?,Well then you should choose something that gets a load factor between .5-.7 to get the best compromise as described in lecture.,Thank you,for these how does not using path compression change it?
